"Ano";"Mês";"Tipo de Outorga";"Acessos"
2022;12;Autorização;14152681
2022;12;Concessão;12954648
2021;12;Autorização;14400995
2021;12;Concessão;14320521
2020;12;Autorização;14330449
2020;12;Concessão;16128783
2019;12;Autorização;15400474
2019;12;Concessão;18109588
2018;12;Autorização;16583976
2018;12;Concessão;20899233
2017;12;Autorização;16886449
2017;12;Concessão;22659130
2016;12;Autorização;17253906
2016;12;Concessão;23917536
2015;12;Autorização;18817787
2015;12;Concessão;24591684
2014;12;Autorização;17807298
2014;12;Concessão;26320890
2013;12;Autorização;16375810
2013;12;Concessão;27630811
2012;12;Concessão;28940206
2012;12;Autorização;14415837
2011;12;Concessão;29703125
2011;12;Autorização;12360564
2010;12;Concessão;31009863
2010;12;Autorização;10029051
2009;12;Concessão;32251502
2009;12;Autorização;8121231
2008;12;Concessão;33445488
2008;12;Autorização;6681328
2007;12;Concessão;33873928
2007;12;Autorização;4383524
